最終更新, 2020/3/4 9:10
日付,曜日,9-13時,13-17時,17-21時,date,w,short_date,小計
2020-01-29T08:00:00.000Z,水,0,0,23,2020-01-29,3,01/29,23
2020-01-30T08:00:00.000Z,木,113,122,89,2020-01-30,4,01/30,324
2020-01-31T08:00:00.000Z,金,161,125,116,2020-01-31,5,01/31,402
2020-02-01T08:00:00.000Z,土,141,77,58,2020-02-01,6,02/01,276
2020-02-02T08:00:00.000Z,日,82,59,52,2020-02-02,0,02/02,193
2020-02-03T08:00:00.000Z,月,168,102,69,2020-02-03,1,02/03,339
2020-02-04T08:00:00.000Z,火,96,81,50,2020-02-04,2,02/04,227
2020-02-05T08:00:00.000Z,水,109,74,63,2020-02-05,3,02/05,246
2020-02-06T08:00:00.000Z,木,83,56,31,2020-02-06,4,02/06,170
2020-02-07T08:00:00.000Z,金,74,55,47,2020-02-07,5,02/07,176
2020-02-08T08:00:00.000Z,土,58,39,28,2020-02-08,6,02/08,125
2020-02-09T08:00:00.000Z,日,30,23,26,2020-02-09,0,02/09,79
2020-02-10T08:00:00.000Z,月,68,53,35,2020-02-10,1,02/10,156
2020-02-11T08:00:00.000Z,火,45,19,14,2020-02-11,2,02/11,78
2020-02-12T08:00:00.000Z,水,53,63,33,2020-02-12,3,02/12,149
2020-02-13T08:00:00.000Z,木,51,47,55,2020-02-13,4,02/13,153
2020-02-14T08:00:00.000Z,金,109,102,89,2020-02-14,5,02/14,300
2020-02-15T08:00:00.000Z,土,86,107,101,2020-02-15,6,02/15,294
2020-02-16T08:00:00.000Z,日,117,87,109,2020-02-16,0,02/16,313
2020-02-17T08:00:00.000Z,月,163,129,110,2020-02-17,1,02/17,402
2020-02-18T08:00:00.000Z,火,150,132,93,2020-02-18,2,02/18,375
2020-02-19T08:00:00.000Z,水,165,121,117,2020-02-19,3,02/19,403
2020-02-20T08:00:00.000Z,木,125,116,93,2020-02-20,4,02/20,334
2020-02-21T08:00:00.000Z,金,142,156,183,2020-02-21,5,02/21,481
2020-02-22T08:00:00.000Z,土,187,135,165,2020-02-22,6,02/22,487
2020-02-23T08:00:00.000Z,日,182,155,129,2020-02-23,0,02/23,466
2020-02-24T08:00:00.000Z,月,106,135,198,2020-02-24,1,02/24,439
2020-02-25T08:00:00.000Z,火,161,145,154,2020-02-25,2,02/25,460
2020-02-26T08:00:00.000Z,水,184,100,144,2020-02-26,3,02/26,428
2020-02-27T08:00:00.000Z,木,140,142,132,2020-02-27,4,02/27,414
2020-02-28T08:00:00.000Z,金,173,205,130,2020-02-28,5,02/28,508
2020-02-29T08:00:00.000Z,土,155,182,120,2020-02-29,6,02/29,457
2020-03-01T08:00:00.000Z,日,171,194,109,2020-03-01,0,03/01,474
2020-03-02T08:00:00.000Z,月,128,154,117,2020-03-02,1,03/02,399
2020-03-03T08:00:00.000Z,火,200,200,192,2020-03-03,2,03/03,592
